{'train_acc_eval_mode': 0.20396666112045447, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666092177232, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.19983332791676123, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.19983332835137843, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.19133332839856546, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.18969999507069588, 'test_acc_train_mode': 0.18969999507069588}
{'train_acc_eval_mode': 0.20396666085968415, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666112666328, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666107078393, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666155507168, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666083484888, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.19133332851032417, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.18969999507069588, 'test_acc_train_mode': 0.18969999507069588}
{'train_acc_eval_mode': 0.20396666110803682, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666100869576, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.19983332823961975, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.20396666104594866, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.20396666117012502, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.2039666607603431, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.20369999408721923, 'test_acc_train_mode': 0.20369999408721923}
{'train_acc_eval_mode': 0.1998333279043436, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.2036999946832657, 'test_acc_train_mode': 0.2036999946832657}
{'train_acc_eval_mode': 0.19133332826197147, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.18969999507069588, 'test_acc_train_mode': 0.18969999507069588}
{'train_acc_eval_mode': 0.1913333283364773, 'train_acc_train_mode': -1, 'valid_acc_eval_mode': -1, 'valid_acc_train_mode': -1, 'test_acc_eval_mode': 0.18969999507069588, 'test_acc_train_mode': 0.18969999507069588}
